Название кампании,№ Кампании,День,Показы,Клики,"Расход, ₽",Конверсии,"CR, %","CPA, ₽"
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,26.05.2026,14,4,603.60,0,0.00,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,26.05.2026,31,0,0.00,0,-,-
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,26.05.2026,74,9,1789.69,0,0.00,-
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,26.05.2026,33,4,602.67,1,25.00,602.67
51. na-corporate.ru | корпоративная одежда | рся,115971965,27.05.2026,6961,86,1663.12,2,2.33,831.56
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,27.05.2026,13,2,235.59,0,0.00,-
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,27.05.2026,13,2,264.71,0,0.00,-
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,27.05.2026,6,0,0.00,0,-,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,27.05.2026,27,2,0.00,0,0.00,-
10. Форма | РСЯ,115971938,27.05.2026,14887,66,4236.19,5,7.58,847.24
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,27.05.2026,94,5,332.14,1,20.00,332.14
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,27.05.2026,28,4,772.88,0,0.00,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,27.05.2026,4485,44,2889.67,8,18.18,361.21
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,27.05.2026,61,8,1855.79,0,0.00,-
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,27.05.2026,33,5,384.81,1,20.00,384.81
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,28.05.2026,3,0,0.00,0,-,-
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,28.05.2026,3,0,0.00,0,-,-
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,28.05.2026,1,0,0.00,0,-,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,28.05.2026,1,0,0.00,0,-,-
10. Форма | РСЯ,115971938,28.05.2026,941,4,237.61,0,0.00,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,28.05.2026,1887,6,248.54,0,0.00,-
51. na-corporate.ru | корпоративная одежда | рся,115971965,28.05.2026,1015,17,196.75,0,0.00,-
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,29.05.2026,9,0,0.00,0,-,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,29.05.2026,31,1,0.00,0,0.00,-
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,29.05.2026,45,6,619.55,0,0.00,-
51. na-corporate.ru | корпоративная одежда | рся,115971965,29.05.2026,6576,82,1786.82,0,0.00,-
10. Форма | РСЯ,115971938,29.05.2026,20629,57,3358.91,2,3.51,1679.45
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,29.05.2026,5,0,0.00,0,-,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,29.05.2026,2619,26,1454.16,1,3.85,1454.16
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,29.05.2026,10,1,403.91,0,0.00,-
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,29.05.2026,23,2,204.79,0,0.00,-
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,29.05.2026,30,3,218.51,1,33.33,218.51
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,29.05.2026,9,2,308.29,1,50.00,308.29
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,30.05.2026,5,1,21.20,0,0.00,-
10. Форма | РСЯ,115971938,30.05.2026,22437,86,5064.97,2,2.33,2532.48
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,30.05.2026,82,9,392.81,1,11.11,392.81
51. na-corporate.ru | корпоративная одежда | рся,115971965,30.05.2026,5791,87,1757.86,1,1.15,1757.86
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,30.05.2026,135,16,0.00,0,0.00,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,30.05.2026,16,0,0.00,0,-,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,30.05.2026,17,3,525.59,1,33.33,525.59
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,30.05.2026,42,5,342.19,0,0.00,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,30.05.2026,6236,64,3638.12,6,9.38,606.35
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,30.05.2026,47,0,0.00,0,-,-
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,30.05.2026,73,3,417.44,0,0.00,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,31.05.2026,246,8,0.00,0,0.00,-
51. na-corporate.ru | корпоративная одежда | рся,115971965,31.05.2026,1669,26,477.12,0,0.00,-
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,31.05.2026,47,5,339.77,0,0.00,-
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,31.05.2026,9,1,12.99,0,0.00,-
10. Форма | РСЯ,115971938,31.05.2026,17003,52,3041.63,0,0.00,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,31.05.2026,20,1,131.86,0,0.00,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,31.05.2026,5525,77,3121.29,1,1.30,3121.29
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,31.05.2026,50,3,397.05,0,0.00,-
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,31.05.2026,8,0,0.00,0,-,-
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,31.05.2026,68,3,392.60,2,66.67,196.30
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,31.05.2026,30,5,499.20,0,0.00,-
