День,№ Кампании,Название кампании,"Расход, ₽",Клики,Конверсии,"CR, %","CPA, ₽"
27.04.2026,115971960,06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,299.77,2,0,0.00,-
27.04.2026,115973806,11. barssport-factory.ru | Мастер | Форма | Конкуренты,1696.70,26,2,7.69,848.35
27.04.2026,115971941,13. Корпоративная одежда | РСЯ | Оплата за лиды,1464.00,9,1,11.11,1464.00
27.04.2026,700663637,12. Форма | РСЯ (Общая) Оплата за лиды,0.00,9,0,0.00,-
27.04.2026,115971954,04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,154.67,4,0,0.00,-
27.04.2026,115971950,02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,1707.87,7,0,0.00,-
27.04.2026,115971951,03. 2024. barssport-factory.ru | поиск | футбольная форма,1437.39,12,1,8.33,1437.39
27.04.2026,115971959,05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,866.85,4,0,0.00,-
27.04.2026,115971938,10. Форма | РСЯ,2807.10,52,4,7.69,701.77
28.04.2026,115971954,04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,210.63,2,1,50.00,210.63
28.04.2026,115971947,01.  2024.  barssport-factory.ru | поиск | бренд,165.83,4,1,25.00,165.83
28.04.2026,115971950,02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,1870.59,7,1,14.29,1870.59
28.04.2026,115971938,10. Форма | РСЯ,5348.80,93,7,7.53,764.11
28.04.2026,115971960,06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,233.91,2,0,0.00,-
28.04.2026,115971951,03. 2024. barssport-factory.ru | поиск | футбольная форма,731.07,5,1,20.00,731.07
28.04.2026,700663637,12. Форма | РСЯ (Общая) Оплата за лиды,0.00,3,0,0.00,-
28.04.2026,115973806,11. barssport-factory.ru | Мастер | Форма | Конкуренты,3233.57,45,2,4.44,1616.78
28.04.2026,115971959,05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,185.17,2,0,0.00,-
28.04.2026,115971941,13. Корпоративная одежда | РСЯ | Оплата за лиды,0.00,5,0,0.00,-
29.04.2026,115971941,13. Корпоративная одежда | РСЯ | Оплата за лиды,0.00,3,0,0.00,-
29.04.2026,115971938,10. Форма | РСЯ,4546.10,67,3,4.48,1515.37
29.04.2026,115973806,11. barssport-factory.ru | Мастер | Форма | Конкуренты,4133.77,66,1,1.52,4133.77
29.04.2026,115971960,06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,526.09,4,0,0.00,-
29.04.2026,115971959,05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,232.24,2,0,0.00,-
29.04.2026,700663637,12. Форма | РСЯ (Общая) Оплата за лиды,0.00,8,0,0.00,-
29.04.2026,115971954,04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,604.66,2,1,50.00,604.66
29.04.2026,115971951,03. 2024. barssport-factory.ru | поиск | футбольная форма,858.43,8,0,0.00,-
29.04.2026,115971947,01.  2024.  barssport-factory.ru | поиск | бренд,497.40,8,1,12.50,497.40
29.04.2026,115971950,02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,586.35,7,1,14.29,586.35
30.04.2026,115971938,10. Форма | РСЯ,3846.02,65,4,6.15,961.50
30.04.2026,115971941,13. Корпоративная одежда | РСЯ | Оплата за лиды,0.00,2,0,0.00,-
30.04.2026,115971959,05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,205.73,2,1,50.00,205.73
30.04.2026,115971950,02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,1110.16,6,0,0.00,-
30.04.2026,700663637,12. Форма | РСЯ (Общая) Оплата за лиды,2196.00,7,1,14.29,2196.00
30.04.2026,115971947,01.  2024.  barssport-factory.ru | поиск | бренд,1536.56,11,0,0.00,-
30.04.2026,115971960,06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,181.21,1,0,0.00,-
30.04.2026,115971954,04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,216.47,3,0,0.00,-
30.04.2026,115973806,11. barssport-factory.ru | Мастер | Форма | Конкуренты,3819.77,71,6,8.45,636.63
30.04.2026,115971951,03. 2024. barssport-factory.ru | поиск | футбольная форма,781.85,4,1,25.00,781.85
01.05.2026,115971947,01.  2024.  barssport-factory.ru | поиск | бренд,490.33,9,1,11.11,490.33
01.05.2026,700663637,12. Форма | РСЯ (Общая) Оплата за лиды,0.00,4,0,0.00,-
01.05.2026,115971951,03. 2024. barssport-factory.ru | поиск | футбольная форма,223.91,3,0,0.00,-
01.05.2026,115971938,10. Форма | РСЯ,3717.56,73,1,1.37,3717.56
